# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   76       2.717304320116e-10       5.540158817896e-14      -1.157881846062e-12       2.326659873882e-16       2.004571651400e-11       2.508975101550e-12      -9.069718429025e-15 
   77       2.752139263308e-10       5.734125925979e-14      -1.227813227834e-12       2.388466649133e-16       1.941821269370e-11       2.444213688518e-12      -8.866111699088e-15 
   78       2.787294307284e-10       5.930261200547e-14      -1.299149950818e-12       2.451089009147e-16       1.881683876424e-11       2.381989521583e-12      -8.675096245252e-15 
   79       2.822761403274e-10       6.128402848712e-14      -1.371829564442e-12       2.514528981319e-16       1.823891575226e-11       2.322005865313e-12      -8.506462551796e-15 
   80       2.858532465186e-10       6.328386486850e-14      -1.445790568021e-12       2.578788744150e-16       1.768183596159e-11       2.263976823869e-12      -8.368527701301e-15 
   81       2.894613999909e-10       6.530063103615e-14      -1.520988944417e-12       2.643870467644e-16       1.714524330686e-11       2.207871678924e-12      -8.260736159322e-15 
   82       2.931014618694e-10       6.733284008389e-14      -1.597384384932e-12       2.709776457722e-16       1.662918936152e-11       2.153708458543e-12      -8.179812664677e-15 
   83       2.967740483468e-10       6.937895439723e-14      -1.674935382490e-12       2.776509211690e-16       1.613346690324e-11       2.101479400112e-12      -8.121949802425e-15 
   84       3.004795167666e-10       7.143738547997e-14      -1.753599258568e-12       2.844071424201e-16       1.565759854592e-11       2.051149790968e-12      -8.082789520013e-15 
   85       3.042179517058e-10       7.350649378083e-14      -1.833332190139e-12       2.912465993238e-16       1.520082537178e-11       2.002656809024e-12      -8.057404643426e-15 
   86       3.079891510576e-10       7.558458852009e-14      -1.914089236604e-12       2.981696026076e-16       1.476209556333e-11       1.955908363390e-12      -8.040280393343e-15 
   87       3.117926121139e-10       7.766992751618e-14      -1.995824366731e-12       3.051764845263e-16       1.434005303545e-11       1.910781934997e-12      -8.025295901280e-15 
   88       3.156275176488e-10       7.976071701231e-14      -2.078490485595e-12       3.122675994585e-16       1.393302606741e-11       1.867123417224e-12      -8.005705725747e-15 
   89       3.194930477035e-10       8.185513566358e-14      -2.162038112722e-12       3.194433133249e-16       1.353942510584e-11       1.824785290734e-12      -7.975588667875e-15 
   90       3.233894013321e-10       8.395141118843e-14      -2.246411120181e-12       3.267039686373e-16       1.315903246832e-11       1.783750538066e-12      -7.934494970189e-15 
   91       3.273169102390e-10       8.604775547783e-14      -2.331550372461e-12       3.340499150414e-16       1.279189494911e-11       1.744026121594e-12      -7.883497448527e-15 
   92       3.312757184329e-10       8.814234169110e-14      -2.417395022375e-12       3.414815204322e-16       1.243792749326e-11       1.705604817580e-12      -7.823792537672e-15 
   93       3.352657731887e-10       9.023330444449e-14      -2.503882517795e-12       3.489991713835e-16       1.209690795864e-11       1.668464646078e-12      -7.756703789514e-15 
   94       3.392868160100e-10       9.231873999980e-14      -2.590948608383e-12       3.566032735778e-16       1.176847187780e-11       1.632568300832e-12      -7.683685371219e-15 
   95       3.433383735913e-10       9.439670645288e-14      -2.678527352319e-12       3.642942522359e-16       1.145210721996e-11       1.597862579175e-12      -7.606325563389e-15 
   96       3.474197487800e-10       9.646522392228e-14      -2.766551123034e-12       3.720725525466e-16       1.114714915293e-11       1.564277811933e-12      -7.526350258234e-15 
   97       3.515300115389e-10       9.852227473779e-14      -2.854950615937e-12       3.799386400966e-16       1.085277480501e-11       1.531727293326e-12      -7.445626457731e-15 
   98       3.556679899083e-10       1.005658036290e-13      -2.943654855152e-12       3.878930013002e-16       1.056799802699e-11       1.500106710866e-12      -7.366165771793e-15 
   99       3.598325603329e-10       1.025937652356e-13      -3.032592566237e-12       3.959361463380e-16       1.029189524621e-11       1.469319101823e-12      -7.289720834584e-15 
  100       3.640235851008e-10       1.046042739091e-13      -3.121696501677e-12       4.040686175193e-16       1.002433085329e-11       1.439354988327e-12      -7.216501766136e-15 
  101       3.682410915131e-10       1.065954755782e-13      -3.210899743414e-12       4.122909829079e-16       9.765325307399e-12       1.410222586442e-12      -7.146283561348e-15 
  102       3.724849790237e-10       1.085655030727e-13      -3.300134414506e-12       4.206038343734e-16       9.514830804193e-12       1.381923034825e-12      -7.078795534644e-15 
  103       3.767550138309e-10       1.105124768854e-13      -3.389331702415e-12       4.290077880510e-16       9.272728838815e-12       1.354450134034e-12      -7.013719883811e-15 
  104       3.810508234675e-10       1.124345059348e-13      -3.478421882293e-12       4.375034848017e-16       9.038827768976e-12       1.327790085848e-12      -6.950690253837e-15 
  105       3.853718913923e-10       1.143296883265e-13      -3.567334340275e-12       4.460915906727e-16       8.812860377998e-12       1.301921232576e-12      -6.889290300756e-15 
  106       3.897175515807e-10       1.161961121162e-13      -3.655997596759e-12       4.547727973571e-16       8.594481437866e-12       1.276813796373e-12      -6.829052255480e-15 
  107       3.940869831158e-10       1.180318560711e-13      -3.744339329705e-12       4.635478226546e-16       8.383265272288e-12       1.252429618552e-12      -6.769455487646e-15 
  108       3.984792047789e-10       1.198349904327e-13      -3.832286397912e-12       4.724174109310e-16       8.178703319740e-12       1.228721898900e-12      -6.709925069453e-15 
  109       4.028930696409e-10       1.216035776787e-13      -3.919764864314e-12       4.813823335789e-16       7.980201696524e-12       1.205634934990e-12      -6.649830339501e-15 
  110       4.073274574014e-10       1.233357209713e-13      -4.006700531079e-12       4.904433709197e-16       7.787214997180e-12       1.183117133992e-12      -6.588612943671e-15 
  111       4.117818909888e-10       1.250297149152e-13      -4.093020572791e-12       4.996012542906e-16       7.599672385968e-12       1.161162500030e-12      -6.526192663111e-15 
  112       4.162559891161e-10       1.266839156092e-13      -4.178652156832e-12       5.088567173727e-16       7.417601728964e-12       1.139773993151e-12      -6.462611077369e-15 
  113       4.207492721606e-10       1.282966959019e-13      -4.263521978249e-12       5.182105143607e-16       7.240997145824e-12       1.118950602698e-12      -6.397906568330e-15 
  114       4.252611586976e-10       1.298664466224e-13      -4.347556288074e-12       5.276634202412e-16       7.069817911789e-12       1.098687217067e-12      -6.332114156557e-15 
  115       4.297909620355e-10       1.313915778110e-13      -4.430680921637e-12       5.372162310699e-16       6.903987359673e-12       1.078974493459e-12      -6.265265337628e-15 
  116       4.343378867498e-10       1.328705199501e-13      -4.512821326889e-12       5.468697642497e-16       6.743391781860e-12       1.059798727641e-12      -6.197387918483e-15 
  117       4.389010252175e-10       1.343017251950e-13      -4.593902592719e-12       5.566248588083e-16       6.587879332299e-12       1.041141723698e-12      -6.128505853764e-15 
  118       4.434793541515e-10       1.356836686050e-13      -4.673849477270e-12       5.664823756762e-16       6.437258928500e-12       1.022980663790e-12      -6.058639082155e-15 
  119       4.480717311350e-10       1.370148493736e-13      -4.752586436261e-12       5.764431979640e-16       6.291299153528e-12       1.005287977910e-12      -5.987803362723e-15 
  120       4.526768911556e-10       1.382937920602e-13      -4.830037651302e-12       5.865082312407e-16       6.149727157996e-12       9.880312136367e-13      -5.916010111263e-15 
  121       4.572934431402e-10       1.395190478203e-13      -4.906127058215e-12       5.966784038110e-16       6.012227562065e-12       9.711729058919e-13      -5.843266236635e-15 
  122       4.619198664889e-10       1.406891956362e-13      -4.980778375350e-12       6.069546669932e-16       5.878441357433e-12       9.546704466970e-13      -5.769573977108e-15 
  123       4.665546933602e-10       1.418028911080e-13      -5.053916095115e-12       6.173379559492e-16       5.748043345176e-12       9.384861138451e-13      -5.694959983341e-15 
