# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  100       3.636951840727e-10       1.042852258080e-13      -3.123666725561e-12       0.000000000000e+00       1.002433085329e-11       1.439354988327e-12      -7.216501766136e-15 
  101       3.679110706382e-10       1.062717113663e-13      -3.213041216569e-12       0.000000000000e+00       9.765325307399e-12       1.410222586442e-12      -7.146283561348e-15 
  102       3.721535087011e-10       1.082369876158e-13      -3.302454209757e-12       0.000000000000e+00       9.514830804193e-12       1.381923034825e-12      -7.078795534644e-15 
  103       3.764222709949e-10       1.101791687371e-13      -3.391836942376e-12       0.000000000000e+00       9.272728838815e-12       1.354450134034e-12      -7.013719883811e-15 
  104       3.807169917371e-10       1.120963569003e-13      -3.481119732262e-12       0.000000000000e+00       9.038827768976e-12       1.327790085848e-12      -6.950690253837e-15 
  105       3.850371612215e-10       1.139866430179e-13      -3.570232000917e-12       0.000000000000e+00       8.812860377998e-12       1.301921232576e-12      -6.889290300756e-15 
  106       3.893821204125e-10       1.158481074977e-13      -3.659102296586e-12       0.000000000000e+00       8.594481437866e-12       1.276813796373e-12      -6.829052255480e-15 
  107       3.937510555380e-10       1.176788209950e-13      -3.747658317334e-12       0.000000000000e+00       8.383265272288e-12       1.252429618552e-12      -6.769455487646e-15 
  108       3.981429926828e-10       1.194768451658e-13      -3.835826934122e-12       0.000000000000e+00       8.178703319740e-12       1.228721898900e-12      -6.709925069453e-15 
  109       4.025567923821e-10       1.212402334194e-13      -3.923534213885e-12       0.000000000000e+00       7.980201696524e-12       1.205634934990e-12      -6.649830339501e-15 
  110       4.069913411550e-10       1.229670797972e-13      -4.010705956769e-12       0.000000000000e+00       7.787214997180e-12       1.183117133992e-12      -6.588612943671e-15 
  111       4.114461655636e-10       1.246556711042e-13      -4.097269336471e-12       0.000000000000e+00       7.599672385968e-12       1.161162500030e-12      -6.526192663111e-15 
  112       4.159208869880e-10       1.263043557465e-13      -4.183151513990e-12       0.000000000000e+00       7.417601728964e-12       1.139773993151e-12      -6.462611077369e-15 
  113       4.204150282790e-10       1.279114985568e-13      -4.268279170042e-12       0.000000000000e+00       7.240997145824e-12       1.118950602698e-12      -6.397906568330e-15 
  114       4.249280102877e-10       1.294754820208e-13      -4.352578533194e-12       0.000000000000e+00       7.069817911789e-12       1.098687217067e-12      -6.332114156557e-15 
  115       4.294591483939e-10       1.309947075023e-13      -4.435975407990e-12       0.000000000000e+00       6.903987359673e-12       1.078974493459e-12      -6.265265337628e-15 
  116       4.340076490354e-10       1.324675964694e-13      -4.518395203082e-12       0.000000000000e+00       6.743391781860e-12       1.059798727641e-12      -6.197387918483e-15 
  117       4.385726062367e-10       1.338925917198e-13      -4.599762959365e-12       0.000000000000e+00       6.587879332299e-12       1.041141723698e-12      -6.128505853764e-15 
  118       4.431529981378e-10       1.352681586069e-13      -4.680003378101e-12       0.000000000000e+00       6.437258928500e-12       1.022980663790e-12      -6.058639082155e-15 
  119       4.477476835233e-10       1.365927862652e-13      -4.759040849053e-12       0.000000000000e+00       6.291299153528e-12       1.005287977910e-12      -5.987803362723e-15 
  120       4.523553983515e-10       1.378649888362e-13      -4.836799478618e-12       0.000000000000e+00       6.149727157996e-12       9.880312136367e-13      -5.916010111263e-15 
  121       4.569747522827e-10       1.390833066943e-13      -4.913203117951e-12       0.000000000000e+00       6.012227562065e-12       9.711729058919e-13      -5.843266236635e-15 
  122       4.616042252088e-10       1.402463076720e-13      -4.988175391099e-12       0.000000000000e+00       5.878441357433e-12       9.546704466970e-13      -5.769573977108e-15 
  123       4.662423503407e-10       1.413526358454e-13      -5.061640682668e-12       0.000000000000e+00       5.748043345176e-12       9.384861138451e-13      -5.694959983341e-15 
  124       4.708882946830e-10       1.424011616242e-13      -5.133527169371e-12       0.000000000000e+00       5.620986861299e-12       9.226187388932e-13      -5.619566699069e-15 
  125       4.755413390146e-10       1.433908512944e-13      -5.203764191385e-12       0.000000000000e+00       5.497285227353e-12       9.070754487345e-13      -5.543571218862e-15 
  126       4.802006953196e-10       1.443207225870e-13      -5.272281359323e-12       0.000000000000e+00       5.376935257608e-12       8.918617827397e-13      -5.467157047533e-15 
  127       4.848655047844e-10       1.451898462776e-13      -5.339008589910e-12       0.000000000000e+00       5.259916778958e-12       8.769816424423e-13      -5.390514166594e-15 
  128       4.895348357943e-10       1.459973477866e-13      -5.403876141670e-12       0.000000000000e+00       5.146192150817e-12       8.624372412226e-13      -5.313839100696e-15 
  129       4.942076819299e-10       1.467424087792e-13      -5.466814650599e-12       0.000000000000e+00       5.035705785023e-12       8.482290539922e-13      -5.237334984087e-15 
  130       4.988829599643e-10       1.474242687647e-13      -5.527755165851e-12       0.000000000000e+00       4.928383665739e-12       8.343557668787e-13      -5.161211627056e-15 
  131       5.035595078597e-10       1.480422266973e-13      -5.586629185410e-12       0.000000000000e+00       4.824132869352e-12       8.208142269096e-13      -5.085685582379e-15 
  132       5.082360827639e-10       1.485956425752e-13      -5.643368691780e-12       0.000000000000e+00       4.722841084376e-12       8.075993916974e-13      -5.010980211775e-15 
  133       5.129113590072e-10       1.490839390410e-13      -5.697906187655e-12       0.000000000000e+00       4.624376131350e-12       7.947042791237e-13      -4.937325752350e-15 
  134       5.175839260990e-10       1.495066029814e-13      -5.750174731605e-12       0.000000000000e+00       4.528585482744e-12       7.821199170235e-13      -4.864959383044e-15 
  135       5.222522867247e-10       1.498631871273e-13      -5.800107973755e-12       0.000000000000e+00       4.435295782852e-12       7.698352928701e-13      -4.794125291084e-15 
  136       5.269148547424e-10       1.501533116534e-13      -5.847640191464e-12       0.000000000000e+00       4.344312367701e-12       7.578373034592e-13      -4.725074738433e-15 
  137       5.315700914882e-10       1.503766934523e-13      -5.892706938489e-12       0.000000000000e+00       4.255460553817e-12       7.461134194511e-13      -4.658004690555e-15 
