t,E_tot,E_x,E_y,E_weak,proj_bx,P_tau,W_tau,C_vx_bx,C_bx_wx,C_vy_by,C_by_wy,D_bx,D_by,P_eta_left,P_eta_right,P_eta_total,Tau_vx,Tau_vy,Tau_bx,Tau_by
3.60000000e-02,4.30080000e-08,4.30080000e-08,3.11579539e-34,4.30079984e-08,8.83572880e-10,0.00000000e+00,0.00000000e+00,4.22983012e-15,-8.88264326e-14,-4.99707430e-40,2.99819241e-39,9.64150592e-21,7.50695878e-39,4.42872056e-24,-4.42872043e-24,-8.85744099e-24,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.70000000e-02,4.30080000e-08,4.30080000e-08,3.47697511e-34,4.30079984e-08,9.08116570e-10,0.00000000e+00,0.00000000e+00,4.34732539e-15,-9.12938332e-14,-5.73155774e-40,3.43887488e-39,1.01845845e-20,8.37715392e-39,4.67864575e-24,-4.67864579e-24,-9.35729154e-24,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.80000000e-02,4.30080000e-08,4.30080000e-08,3.86867319e-34,4.30079983e-08,9.32660259e-10,0.00000000e+00,0.00000000e+00,4.46482066e-15,-9.37612338e-14,-6.54995019e-40,3.92990191e-39,1.07425420e-20,9.32087675e-39,4.93546382e-24,-4.93546364e-24,-9.87092746e-24,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.90000000e-02,4.30080000e-08,4.30080000e-08,4.29256175e-34,4.30079982e-08,9.57203948e-10,0.00000000e+00,0.00000000e+00,4.58231593e-15,-9.62286344e-14,-7.45924217e-40,4.47546773e-39,1.13153783e-20,1.03421558e-38,5.19917723e-24,-5.19917727e-24,-1.03983545e-23,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.00000000e-02,4.30080000e-08,4.30080000e-08,4.75035753e-34,4.30079981e-08,9.81747637e-10,0.00000000e+00,0.00000000e+00,4.69981119e-15,-9.86960350e-14,-8.46680198e-40,5.07999327e-39,1.19030935e-20,1.14451272e-38,5.46978980e-24,-5.46978950e-24,-1.09395793e-23,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.10000000e-02,4.30080000e-08,4.30080000e-08,5.24382184e-34,4.30079980e-08,1.00629133e-09,0.00000000e+00,0.00000000e+00,4.81730646e-15,-1.01163436e-13,-9.58038567e-40,5.74813206e-39,1.25056876e-20,1.26340343e-38,5.74730409e-24,-5.74730401e-24,-1.14946081e-23,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.20000000e-02,4.30080000e-08,4.30080000e-08,5.77476058e-34,4.30079979e-08,1.03083502e-09,0.00000000e+00,0.00000000e+00,4.93480172e-15,-1.03630836e-13,-1.08081469e-39,6.48477624e-39,1.31231605e-20,1.39132280e-38,6.03172402e-24,-6.03172368e-24,-1.20634477e-23,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.30000000e-02,4.30080000e-08,4.30080000e-08,6.34502425e-34,4.30079978e-08,1.05537870e-09,0.00000000e+00,0.00000000e+00,5.05229698e-15,-1.06098237e-13,-1.21586470e-39,7.29506250e-39,1.37555123e-20,1.52871665e-38,6.32305227e-24,-6.32305217e-24,-1.26461044e-23,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.40000000e-02,4.30080000e-08,4.30080000e-08,6.95650794e-34,4.30079977e-08,1.07992239e-09,0.00000000e+00,0.00000000e+00,5.16979225e-15,-1.08565637e-13,-1.36408647e-39,8.18437803e-39,1.44027430e-20,1.67604155e-38,6.62129301e-24,-6.62129253e-24,-1.32425855e-23,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.50000000e-02,4.30080000e-08,4.30080000e-08,7.61115133e-34,4.30079976e-08,1.10446608e-09,0.00000000e+00,0.00000000e+00,5.28728751e-15,-1.11033038e-13,-1.52642064e-39,9.15836653e-39,1.50648525e-20,1.83376482e-38,6.92644875e-24,-6.92644860e-24,-1.38528973e-23,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
