t,E_tot,E_x,E_y,E_weak,proj_bx,P_tau,W_tau,C_vx_bx,C_bx_wx,C_vy_by,C_by_wy,D_bx,D_by,Tau_vx,Tau_vy,Tau_bx,Tau_by
5.70000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30079961e-08,1.39899034e-09,0.00000000e+00,0.00000000e+00,6.69723057e-15,-1.40641842e-13,0.00000000e+00,0.00000000e+00,2.41456661e-20,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.80000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30079960e-08,1.42353402e-09,0.00000000e+00,0.00000000e+00,6.81472581e-15,-1.43109242e-13,0.00000000e+00,0.00000000e+00,2.50003140e-20,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.90000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30079958e-08,1.44807771e-09,0.00000000e+00,0.00000000e+00,6.93222106e-15,-1.45576642e-13,0.00000000e+00,0.00000000e+00,2.58698254e-20,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
6.00000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30079957e-08,1.47262140e-09,0.00000000e+00,0.00000000e+00,7.04971631e-15,-1.48044042e-13,0.00000000e+00,0.00000000e+00,2.67542003e-20,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
6.10000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30079956e-08,1.49716508e-09,0.00000000e+00,0.00000000e+00,7.16721155e-15,-1.50511443e-13,0.00000000e+00,0.00000000e+00,2.76534386e-20,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
6.20000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30079954e-08,1.52170877e-09,0.00000000e+00,0.00000000e+00,7.28470679e-15,-1.52978843e-13,0.00000000e+00,0.00000000e+00,2.85675403e-20,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
6.30000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30079953e-08,1.54625246e-09,0.00000000e+00,0.00000000e+00,7.40220204e-15,-1.55446243e-13,0.00000000e+00,0.00000000e+00,2.94965055e-20,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
6.40000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30079951e-08,1.57079614e-09,0.00000000e+00,0.00000000e+00,7.51969728e-15,-1.57913643e-13,0.00000000e+00,0.00000000e+00,3.04403341e-20,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
6.50000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30079950e-08,1.59533983e-09,0.00000000e+00,0.00000000e+00,7.63719252e-15,-1.60381043e-13,0.00000000e+00,0.00000000e+00,3.13990261e-20,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
6.60000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30079948e-08,1.61988352e-09,0.00000000e+00,0.00000000e+00,7.75468776e-15,-1.62848443e-13,0.00000000e+00,0.00000000e+00,3.23725816e-20,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
6.70000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30079946e-08,1.64442720e-09,0.00000000e+00,0.00000000e+00,7.87218299e-15,-1.65315843e-13,0.00000000e+00,0.00000000e+00,3.33610005e-20,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
6.80000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30079945e-08,1.66897089e-09,0.00000000e+00,0.00000000e+00,7.98967823e-15,-1.67783243e-13,0.00000000e+00,0.00000000e+00,3.43642828e-20,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
